skill,capability,owner,primary_hosts,branch_hashes,drift_type,recommendation,notes
atlas333-cognitive-geometry,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""075185e4ca631405"", ""KIMI"": ""74e65b3840483c2a""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
knowledge,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""d7124d5675a7f173"", ""AAA"": ""ffaa5ae8f430541c""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-mcp-a2a-agentic,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""83a11be9a36c0fbb"", ""AAA"": ""dc18d19f9a00bc93""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-esm-require-guard,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""6de9d8fa8cc22783"", ""AAA"": ""ed08afe02f6db325""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
ASI-agent-invariants,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""6c730fa76e766084"", ""AAA"": ""ccc8ed20c858716a""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
ASI-summarize,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""354e26ff6d98bf18"", ""AAA"": ""a56c63832557deb5""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-docker-entropy,DEPLOYMENT,A-FORGE,HERMES|KIMI,"{""HERMES"": ""847f65359704cfc0"", ""KIMI"": ""74439a0f1185c19b""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
AAA-somatic-engine-catalog,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""3a140dbd4e62743e"", ""AAA"": ""981c682ab98db3f2""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-verify-runtime,GOVERNANCE,AAA,HERMES|KIMI,"{""HERMES"": ""b737f59c4b55cde2"", ""KIMI"": ""a31e8d7ea5723d56""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
FORGE-symlink-audit,DEPLOYMENT,A-FORGE,HERMES|AAA,"{""HERMES"": ""7415750584a70c46"", ""AAA"": ""15e167c0df845f9b""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
reflective,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""6841b29e00f1591c"", ""AAA"": ""b3366e635d5d16d4""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-mcp-gui,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""b2c8811bfb429d06"", ""AAA"": ""11d455508edd2ed3""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-repo-intelligence,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""89ec5d68efc20a66"", ""AAA"": ""b84adeb85d9f926a""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-setup-help,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""bc4d646dea35d877"", ""AAA"": ""e2265f673c398976""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
fi-zai-probe,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""da88748c278fbd8b"", ""AAA"": ""c2b1f2c0e728c986""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
geox-production-cockpit,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""f7d9e540096e8014"", ""AAA"": ""990d082bd63083f5""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
external-artifact-verdict,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""486c24711dfbb3eb"", ""AAA"": ""0ba18e38654bfafc""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
token-plan-image,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""4e4cc4a60a3a6617"", ""AAA"": ""c48706b9273328ba""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
